slug,artistname,year,date,date-added,series,venue,radio,cancelled,performers,setlist,setlist-source,support,poster-url,ticket-url,venue-url,notes
dean-wareham,Dean Wareham,2021,Tue Jan 26 2021 00:00:00 GMT+0000 (Greenwich Mean Time),Tue Mar 24 2020 00:00:00 GMT+0000 (Greenwich Mean Time),Dean Wareham plays Galaxie 500,"Brudenell Social Club, Leeds, UK",,true,Dean Wareham - guitar/vocals|Britta Phillips - bass,,,,,https://www.seetickets.com/event/dean-wareham-plays-galaxie-500/brudenell-social-club-leeds/1473007,http://www.brudenellsocialclub.co.uk/,Dean Wareham plays Galaxie 500’s On Fire + more.
dean-wareham,Dean Wareham,2021,Thu Jan 28 2021 00:00:00 GMT+0000 (Greenwich Mean Time),Tue Mar 24 2020 00:00:00 GMT+0000 (Greenwich Mean Time),Dean Wareham plays Galaxie 500,"Islington Assembly Hall, London, UK",,true,Dean Wareham - guitar/vocals|Britta Phillips - bass,,,,,https://www.seetickets.com/event/dean-wareham-plays-galaxie-500/islington-assembly-hall-london/1473016,https://islingtonassemblyhall.co.uk/,Dean Wareham plays Galaxie 500’s On Fire + more.
dean-wareham,Dean Wareham,2021,Fri Jan 29 2021 00:00:00 GMT+0000 (Greenwich Mean Time),Tue Mar 24 2020 00:00:00 GMT+0000 (Greenwich Mean Time),Dean Wareham plays Galaxie 500,"Concorde 2, Brighton, UK",,true,Dean Wareham - guitar/vocals|Britta Phillips - bass,,,,,https://www.seetickets.com/event/dean-wareham-plays-galaxie-500/concorde-2-brighton/1473012,https://www.concorde2.co.uk/,Dean Wareham plays Galaxie 500’s On Fire + more.
dean-wareham,Dean Wareham,2021,Sat Jan 30 2021 00:00:00 GMT+0000 (Greenwich Mean Time),Tue Mar 24 2020 00:00:00 GMT+0000 (Greenwich Mean Time),Dean Wareham plays Galaxie 500,"Rescue Rooms, Nottingham, UK",,true,Dean Wareham - guitar/vocals|Britta Phillips - bass,,,,,https://www.seetickets.com/event/dean-wareham-plays-galaxie-500/rescue-rooms-nottingham/1473013,http://www.rescuerooms.com/,Dean Wareham plays Galaxie 500’s On Fire + more.
dean-wareham,Dean Wareham,2021,Sun Jan 31 2021 00:00:00 GMT+0000 (Greenwich Mean Time),Tue Mar 24 2020 00:00:00 GMT+0000 (Greenwich Mean Time),Dean Wareham plays Galaxie 500,"Fiddlers Club, Bristol, UK",,true,Dean Wareham - guitar/vocals|Britta Phillips - bass,,,,,https://www.seetickets.com/event/dean-wareham-plays-galaxie-500/fiddlers-club-bristol/1473014,http://www.fiddlers.co.uk/,Dean Wareham plays Galaxie 500’s On Fire + more.
dean-wareham,Dean Wareham,2021,Mon Feb 01 2021 00:00:00 GMT+0000 (Greenwich Mean Time),Tue Mar 24 2020 00:00:00 GMT+0000 (Greenwich Mean Time),Dean Wareham plays Galaxie 500,"Waterfront, Norwich, UK",,true,Dean Wareham - guitar/vocals|Britta Phillips - bass,,,,,https://www.seetickets.com/event/dean-wareham-plays-galaxie-500/waterfront-norwich/1473015,https://waterfrontnorwich.webflow.io/,Dean Wareham plays Galaxie 500’s On Fire + more.
dean-and-britta,Dean Wareham / Britta Phillips,2021,Sat Sep 18 2021 00:00:00 GMT+0100 (British Summer Time),Thu Jul 22 2021 00:00:00 GMT+0100 (British Summer Time),13 Most Beautiful,"Sound Series Block Party, Isabella Street Block, Pittsburgh, PA, USA",,,Dean Wareham - guitar/vocals|Britta Phillips - bass|Anthony LaMarca - drums|Matt Sumrow - guitar/keyboards,,,,https://media.fullofwishes.co.uk/07-dean_and_britta/pictures/13-most-beautiful-13-anniversary-screen-tests-trailer.png,https://www.warhol.org/events/sound-series-block-party/,,Sat Dec 30 1899 19:30:00 GMT+0000 (Greenwich Mean Time)
dean-wareham,Dean Wareham,2021,Sat Sep 18 2021 00:00:00 GMT+0100 (British Summer Time),Thu Jul 22 2021 00:00:00 GMT+0100 (British Summer Time),Dean Wareham plays Galaxie 500,"Sound Series Block Party, Isabella Street Block, Pittsburgh, PA, USA",,,Dean Wareham - guitar/vocals|Britta Phillips - bass|Anthony LaMarca - drums|Matt Sumrow - guitar/keyboards,,,,,https://www.warhol.org/events/sound-series-block-party/,,Dean Wareham plays Galaxie 500’s On Fire.9:00pm
dean-wareham,Dean Wareham,2022,Wed Jan 19 2022 00:00:00 GMT+0000 (Greenwich Mean Time),Sat Dec 04 2021 00:00:00 GMT+0000 (Greenwich Mean Time),,"Zebulon, Los Angeles, CA, USA",,true,Dean Wareham - guitar/vocals|Britta Phillips - bass|Roger Brogan - drums|Derek See - guitar,,,,,https://dice.fm/event/oxe8m-dean-wareham-19th-jan-zebulon-los-angeles-tickets,,
dean-wareham,Dean Wareham,2022,Wed Jan 26 2022 00:00:00 GMT+0000 (Greenwich Mean Time),Sat Oct 09 2021 00:00:00 GMT+0100 (British Summer Time),Dean Wareham plays Galaxie 500,"The Live Rooms, Chester, UK",,true,Dean Wareham - guitar/vocals|Britta Phillips - bass,,,,,,,Dean Wareham plays Galaxie 500’s On Fire + more.
